Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (USD),Weight,Qty owned,Wanted,Value new (USD),Value used (USD)
270-1,System,HO 1:87 Vehicles,1958,5 Cyclists / Motorcyclists,,5,,,0,,,146.24
222-2,System,Supplemental,1958,1 x 1 Bricks,,40,,,0,,,18.97
217-2,System,Supplemental,1958,4 x 4 Corner Bricks,,5,,,0,,,14.46
221-2,System,Supplemental,1958,1 x 2 Bricks,,26,,,0,,9.6,10.24
227-1,System,Supplemental,1958,4 x 8 Curved & 2 x 8 Plates,,5,,,0,,,16.77
213-2,System,Town Plan,1958,Small House - Right Set,,21,,,0,,,33.94
309-2,System,Town Plan,1958,Church,,149,,,0,,,840.16
214-2,System,Supplemental,1958,"Ten Windows and Doors, Red",,10,,,0,,,7.45
216-1,System,Supplemental,1958,2 x 10 Bricks,,5,,,0,,,16.29
219-1,System,Supplemental,1958,2 x 3 Bricks,,15,,,0,,8.39,9.49
228-1,System,Supplemental,1958,4 x 8 & 2 x 8 Plates,,5,,,0,,,13.27
255-1,System,HO 1:87 Vehicles,1958,1:87 Bedford Fire Engine,,1,,,0,,,56.8
257-1,System,HO 1:87 Vehicles,1958,1:87 Bedford Delivery Truck,,1,,,0,,,50.98
220-1,System,Supplemental,1958,2 x 2 Bricks,,20,,,0,,,13.97
308-3,System,Town Plan,1958,Fire Station,,111,,,0,,,843.09
260-2,System,HO 1:87 Vehicles,1958,1:87 VW Beetle,,1,,,0,,,
307-2,System,Town Plan,1958,VW Auto Showroom,,51,,,0,,,710.1
256-2,System,HO 1:87 Vehicles,1958,1:87 Bedford Tow Truck,,1,,,0,,,35.54
215-2,System,Supplemental,1958,2 x 8 Bricks,,6,,,0,,,10.19
233-1,System,Supplemental,1958,Light Masts,,4,,,0,,,30.31
242-1,System,Supplemental,1958,International Flags,,5,,,0,,,84.6
214-3,System,Supplemental,1958,"Ten Windows and Doors, White",,10,,,0,,,5.01
210-2,System,Town Plan,1958,Small Store Set,,30,,,0,,,92.38
258-2,System,HO 1:87 Vehicles,1958,1:87 VW Van,,1,,,0,,,72.15
306-2,System,Town Plan,1958,VW Garage,,45,,,0,,,539.78
253-1,System,HO 1:87 Vehicles,1958,1:87 Bedford Flatbed Truck,,1,,,0,,,
229-1,System,Supplemental,1958,6 x 8 & 2 x 8 Plates,,4,,,0,,,14.09
259-1,System,HO 1:87 Vehicles,1958,1:87 VW Pickup,,1,,,0,,,
271-2,System,Town Plan,1958,Traffic Police Set,,6,,,0,,,184.16
700-13,System,Wooden Box Set,1958,Wooden Storage Box with Contents,,493,,,0,,,
254-2,System,HO 1:87 Vehicles,1958,1:87 Bedford Flatbed Trailer,,1,,,0,,,
261-2,System,HO 1:87 Vehicles,1958,1:87 VW Beetle + Showroom,,4,,,0,,,
700-2,System,Wooden Box Set,1958,"Wooden Storage Box, Empty",,,,,0,,,22.25
1261-2,System,HO 1:87 Vehicles,1958,1:87 VW Beetle,,4,,,0,,,
BIL01-1,Promotional,,1958,LEGO Complimentray Pack,,17,,0.03,0,,,
242-2,System,Supplemental,1958,5 Danish Flags,,5,,,0,,,
242I-1,System,Supplemental,1958,International Flags,,5,,,0,,,
1234-4,System,Basic Set,1958,Lego Mursten System i Leg 1 x 1 Letter Bricks,,,,,0,,,
LEGOBRICKS-1,System,Basic Set,1958,Lego Bricks Box,,2,,,0,,,295.42
280-1,System,Supplemental,1959,"Sloping Roof Bricks, Red",,14,,,0,,26.99,23.09
282-1,System,Supplemental,1959,"2 x 2 Sloping Roof Bricks, Red",,22,,,0,,,17
281-1,System,Supplemental,1959,"1 x 2 and 3 x 2 Sloping Bricks, Red",,21,,,0,,,8
200-4,System,Town Plan,1959,"LEGO Town Plan Board, Continental European Cardboard Version",,1,,,0,,,46.05
280-2,System,Supplemental,1959,"Sloping Roof Bricks, Blue",,14,,,0,,,
281-2,System,Supplemental,1959,"1 x 2 and 3 x 2 Sloping Bricks, Blue",,21,,,0,,,10.65
282-2,System,Supplemental,1959,"2 x 2 Sloping Roof Bricks, Blue",,22,,,0,,,4.07
VWKIT-1,System,Basic Set,1959,Volkswagen Kit,,22,,,0,,,238.55
725-3,Samsonite,Town Plan,1961,Town Plan,,711,25,,0,,,
400-2,Samsonite,Supplemental,1961,Small Wheels with Axles ,,12,0.75,,0,,,
810-2,System,Town Plan,1961,Town Plan - Continental European,,760,,,0,,,
262-1,System,HO 1:87 Vehicles,1961,1:87 Opel Rekord with Garage,,3,,,0,,,69.99
264-2,System,HO 1:87 Vehicles,1961,1:87 Mercedes 220 with Garage,,3,,,0,,,59.99
218-3,Samsonite,Supplemental,1961,2 x 4 Bricks,,20,0.5,,0,,,
220-2,Samsonite,Supplemental,1961,2 X 2 Bricks,,33,0.5,,0,,,
717-1,Samsonite,Basic Set,1961,Junior Constructor,,510,16.95,,0,,,
224-2,Samsonite,Supplemental,1961,Bricks Curved,,33,0.5,,0,,,
246-1,Samsonite,Town Plan,1961,LEGO Town Plan Board,,1,1.5,,0,,,100
265-2,System,HO 1:87 Vehicles,1961,1:87 Karmann Ghia with Garage,,3,,,0,,277.73,
263-2,System,HO 1:87 Vehicles,1961,1:87 Ford Taunus 17M de Luxe with Garage,,3,,,0,,,
219-2,Samsonite,Supplemental,1961,2 X 3 Bricks,,24,0.5,,0,,,
230-3,Samsonite,Supplemental,1961,Trees and Bushes,,12,0.5,,0,,,
231-3,Samsonite,Supplemental,1961,Esso Stations (Pumps and Sign),,2,0.5,,0,,,
245-3,Samsonite,Supplemental,1961,Lighting Device Pack,,3,0.5,,0,,,
221-3,Samsonite,Supplemental,1961,1 X 2 Bricks,,45,0.5,,0,,,
232-3,Samsonite,Supplemental,1961,Road Signs,,15,0.5,,0,,,
703-2,Samsonite,Basic Set,1961,Small Basic Set,,,2.95,,0,,,
217-3,Samsonite,Supplemental,1961,4 x 4 Corner Bricks,,10,0.5,,0,,,
222-3,Samsonite,Supplemental,1961,1 x 1 Bricks,,40,0.5,,0,,,
242B-1,System,Supplemental,1961,"International Flags - Britain, France, Austria, Portugal, LEGO",,5,,,0,,,
233-2,Samsonite,Supplemental,1961,Street Lamps,,9,0.5,,0,,,
216-2,Samsonite,Supplemental,1961,2 X 10 Bricks,,8,,,0,,,
235-3,Samsonite,Supplemental,1961,Garage Plate and Door (White Base and Door Frame),,3,0.5,,0,,,
237-2,Samsonite,Supplemental,1961,Numbered Bricks,,35,0.5,,0,,,
708-2,Samsonite,Basic Set,1961,Medium Basic Set (Flat Box),,,7.95,,0,,,
702-2,Samsonite,Basic Set,1961,Small Basic Set,,109,1.95,,0,,,
214_10-1,System,Supplemental,1961,"1 x 2 x 4 Glass Door in Frame, Left",,,,,0,,,
242-3,Samsonite,Supplemental,1961,International Flags,,7,0.5,,0,,,
311-4,System,Vehicle,1961,Airplanes,,79,,,0,,,
214_2-1,System,Supplemental,1961,1 x 6 x 2 Triple-Pane Window in Frame,,,,,0,,,
214_3-1,System,Supplemental,1961,1 x 6 x 2 Double-Pane Window in Frame w/Shutters,,,,,0,,,
215-3,Samsonite,Supplemental,1961,2 X 8 Bricks,,9,0.5,,0,,,
214_10-2,Samsonite,Supplemental,1961,1 x 2 x 4 Glass Door in Frame,,13,0.5,,0,,,
214_2-2,Samsonite,Supplemental,1961,1 x 6 x 2 Triple-Pane Window in Frame,,8,0.5,,0,,,
214_5-2,Samsonite,Supplemental,1961,1 x 3 x 2 Window in Frame,,12,0.5,,0,,,
242A-1,System,Supplemental,1961,"International Flags - Italy, Switzerland, Belgium, Germany, Netherlands",,5,,,0,,,18.34
223-3,Samsonite,Supplemental,1961,1 x 1 Round Bricks,,62,0.5,,0,,,
234-2,Samsonite,Supplemental,1961,Lettered Bricks,,35,0.5,,0,,,
312-4,System,Vehicle,1961,Boats,,107,,,0,,,527.38
518-2,Samsonite,Supplemental,1961,2 X 4 Plate (Flat Roof Bricks with 8 Studs),,24,0.5,,0,,,
214_1-2,Samsonite,Supplemental,1961,1 x 6 x 3 Window with Frame,,6,0.5,,0,,,
214_4-1,System,Supplemental,1961,1 x 4 x 2 Window in Frame,,,,,0,,,
214_5-1,System,Supplemental,1961,1 x 3 x 2 Window in Frame,,,,,0,,,
214_6-1,System,Supplemental,1961,1 x 2 x 2 Window in Frame,,,,,0,,,
520-4,Samsonite,Supplemental,1961,2 X 2 Plate (Flat Roof Bricks with 4 Studs),,40,0.5,,0,,,
214_1-1,System,Supplemental,1961,1 x 6 x 3 Window with Frame,,,,,0,,,
214_4-2,Samsonite,Supplemental,1961,1 x 4 x 2 Window in Frame,,9,0.5,,0,,,
214_8-1,System,Supplemental,1961,1 x 2 x 1 Window Frame,,,,,0,,,
225_A-1,Samsonite,Supplemental,1961,1 x 6 Beams,,13,0.5,,0,,,
228-2,Samsonite,Supplemental,1961,4 X 8 Plates,,10,0.5,,0,,,
519-3,Samsonite,Supplemental,1961,2 X 3 Plate (Flat Roof Bricks with 6 Studs),,30,0.5,,0,,,
711-2,Samsonite,Basic Set,1961,Large Basic Set (Flat Box),,,10.95,,0,,,
214_6-2,Samsonite,Supplemental,1961,1 x 2 x 2 Window in Frame,,15,0.5,,0,,,
214_7-1,System,Supplemental,1961,1 x 1 x 2 Window Frame,,,,,0,,,
214_9-1,System,Supplemental,1961,1 x 1 x 1 Window Frame,,,,,0,,,
700_5-3,System,,1961,Canister Set (Switzerland),,,,,0,,,
226-3,Samsonite,Supplemental,1961,1 X 8 & 1 X 6 Named Beams,,10,0.5,,0,,,
700-3,Samsonite,Supplemental,1961,10 X 20 Large Base Plate ,,2,0.5,,0,,,
705-2,Samsonite,Basic Set,1961,Small Basic Set (Flat Box),,,4.95,,0,,,
225_B-1,Samsonite,Supplemental,1961,1 x 8 Beams,,12,0.5,,0,,,
227_L-1,Samsonite,Supplemental,1961,4 x 8 Left Curve Plates,,10,0.5,,0,,,
227_R-1,Samsonite,Supplemental,1961,4 x 8 Right Curve Plates,,10,0.5,,0,,,
229_A-1,Samsonite,Supplemental,1961,6 x 8 Plates,,8,0.5,,0,,,
229_B-1,Samsonite,Supplemental,1961,2 x 8 Plates,,10,0.5,,0,,,
521_2-1,Samsonite,Supplemental,1961,1 x 1 and 1 x 2 Plates ,,80,0.5,,0,,,
700L-1,Dacta,Classic,1961,Empty Kindergarten LEGO Box,,,,,0,,,
214_8-2,Samsonite,Supplemental,1961,1 x 2 x 1 Window Frame,,19,0.5,,0,,,
214_7-2,Samsonite,Supplemental,1961,1 x 1 x 2 Window Frame,,19,0.5,,0,,,
214_3-2,Samsonite,Supplemental,1961,1 x 6 x 2 Double-Pane Window in Frame w/Shutters,,8,0.5,,0,,,
214_9-2,Samsonite,Supplemental,1961,1 x 1 x 1 Window Frame,,20,0.5,,0,,,
200-5,System,Town Plan,1962,"LEGO Town Plan Board, UK / Australian Cardboard Version",,1,,,0,,,
518-1,System,Supplemental,1962,2 x 4 Plates (cardboard box version),,24,,,0,,,
518-9,System,Architecture,1962,2 x 4 Plates (architectural hobby und modelbau version),,26,,,0,,,15.92
519-1,System,Supplemental,1962,2 x 3 Plates (cardboard box version),,30,,,0,,,19.53
519-9,System,Architecture,1962,2 x 3 Plates (architectural hobby und modelbau version),,32,,,0,,,2.83
520-2,System,Supplemental,1962,2 x 2 Plates (cardboard box version),,40,,,0,,,19.85
520-3,System,Architecture,1962,2 x 2 Plates (architectural hobby und modelbau version),,42,,0.08,0,,26.52,31.64
521-1,System,Supplemental,1962,1 x 1 and 1 x 2 Plates (cardboard box version),,80,,,0,,,
521-9,System,Architecture,1962,1 x 1 and 1 x 2 Plates (architectural hobby und modelbau version),,82,,,0,,,20.76
704-3,Samsonite,Basic Set,1962,Small Basic Set (Canister),,,,,0,,,
706-2,Samsonite,Basic Set,1962,Medium Basic Set (Canister),,,,,0,,,
710-4,System,Wooden Box Set,1962,Wooden Storage Box with Contents,,493,,,0,,,109.53
710-5,Samsonite,Basic Set,1962,Large Basic Set (Canister),,,,,0,,,
750-2,System,Architecture,1962,Hobby and Model Box,,,,,0,,,
751-2,System,Architecture,1962,Hobby and Model Box,,,,,0,,,
752-1,System,Architecture,1962,Hobby and Model Box,,,,,0,,,
810-4,System,Town Plan,1962,"Town Plan - UK, Cardboard box",,755,,,0,,,2155.25
229_1-1,System,Supplemental,1962,2 x 8 Plates,,8,,,0,,,
615-1,Samsonite,Basic Set,1963,Samsonite Gift Set,,615,14.95,,0,,,
450-2,Samsonite,Basic set,1963,Deluxe Building Set ,,450,10.95,,0,,,
7100-1,Samsonite,Educational,1963,Samsonite Large Educational Set,,3250,100,,0,,,
261-3,System,HO 1:87 Vehicles,1963,1:87 VW Beetle with Garage,,3,,,0,,,
266-2,System,HO 1:87 Vehicles,1963,1:87 Mercedes 190 SL with Garage,,3,,,0,,93.95,133.76
267-1,System,HO 1:87 Vehicles,1963,1:87 VW 1500 Limousine with Garage,,3,,,0,,,56.18
268-2,System,HO 1:87 Vehicles,1963,1:87 Ford Taunus 17M with Garage,,3,,,0,,,69.99
314-2,System,Vehicle,1963,Large & Small Wheels & Turn-Table,,35,,,0,,,37.66
315-3,System,Vehicle,1963,European Taxi,,40,,,0,,21.55,22.71
316-2,System,Vehicle,1963,Farm Tractor,,49,,,0,,,11.17
317-1,System,Vehicle,1963,Truck,,125,,,0,,329.9,96.1
318-1,System,Building,1963,Windmill Set,,153,,,0,,,37.53
400-4,System,Supplemental,1963,Small Wheels with Axles (System),,12,,,0,,,13.58
605-4,Samsonite,Basic Set,1963,Wheel Toy,,180,,,0,,,
705-3,Samsonite,Basic Set,1963,Medium Basic Set (tall box),,,4.95,,0,,,
711-4,System,Wooden Box Set,1963,"Wooden Storage Box Large, Empty",,,,,0,,,
712-2,System,Wooden Box Set,1963,Wooden Storage Box Medium with Contents,,307,,,0,,,
713-1,System,Wooden Box Set,1963,"Wooden Storage Box Medium, Empty",,,,,0,,,
905-1,Samsonite,Basic Set,1963,Doll Set,,266,,,0,,,270
1605-2,Samsonite,Basic Set,1963,Wheel Toy Set,,189,,,0,,,
1905-2,Samsonite,Basic Set,1963,Doll Set (Canister),,277,,,0,,,
242_1-1,System,Supplemental,1963,6 International Flags -1-,,,,,0,,,
242_2-1,System,Supplemental,1963,6 International Flags -2-,,,,,0,,,
242_3-1,System,Supplemental,1963,6 International Flags -3-,,,,,0,,,
600_1-1,System,Basic Set,1963,Basic Set,,,,,0,,,
801-3,Samsonite,Model Maker,1964,Space Rocket,,115,0.98,,0,,,
802-3,Samsonite,Model Maker,1964,Player Piano,,90,0.98,,0,,,
805-2,Samsonite,Model Maker,1964,3 Little Indians,,89,0.98,,0,,,
806-2,Samsonite,Model Maker,1964,Cowboy & Pony,,87,0.98,,0,,,
804-2,Samsonite,Model Maker,1964,Building Crane,,64,0.98,,0,,,
803-3,Samsonite,Model Maker,1964,Seesaw,,47,0.98,,0,,,
041-1,Samsonite,Jumbo Bricks,1964,Pre-School Beginners Set,,24,4.95,0.93,0,,,
799-1,System,Supplemental,1964,"Baseplate, Gray",,1,1.5,,0,,34.05,11.72
040-1,System,Basic Set,1964,Basic Building Set in Cardboard,,287,,,0,,,58.51
050-1,System,Basic Set,1964,Basic Building Set in Cardboard,,287,,,0,,,
105-4,Samsonite,Jumbo Bricks,1964,Pre-School Beginners Set,,24,,,0,,,
303-2,System,Vehicle,1964,Aeroplane,,46,,,0,,,
304-2,System,Vehicle,1964,Tractor & Trailer,,82,,,0,,,33.59
305-2,System,Vehicle,1964,Fire Engine,,170,,,0,,,
322-2,System,Building,1964,Town House,,171,,,0,,,104.54
323-1,System,Vehicle,1964,Train,,253,,,0,,,89.91
324-2,System,Building,1964,House with Garage,,174,,,0,,313.84,133.11
395-3,System,Basic Set,1964,New York World Fair Promo,,,,,0,,,
396-2,System,Basic Set,1964,New York World Fair Promo,,,,,0,,,
401-3,System,Supplemental,1964,Large Wheels with Axles (System),,7,,,0,,9.34,
402-2,System,Supplemental,1964,White Turntables,,5,,,0,,,
472-1,System,HO 1:87 Vehicles,1964,1:87 Nine Models,,,,,0,,,
650-2,System,HO 1:87 Vehicles,1964,1:87 Mercedes Esso Tanker,,1,,,0,,,58.74
651-2,System,HO 1:87 Vehicles,1964,1:87 Mercedes Truck,,1,,,0,,,
652-1,System,HO 1:87 Vehicles,1964,1:87 Mercedes Truck/Trailer,,1,,,0,,,
653-2,System,HO 1:87 Vehicles,1964,1:87 Mercedes Flatbed Truck,,,,,0,,,
654-2,System,HO 1:87 Vehicles,1964,1:87 Mercedes Flatbed Truck/Trailer,,1,,,0,,,
655-2,System,HO 1:87 Vehicles,1964,1:87 Mercedes Fire Truck,,1,,,0,,,90.51
656-2,System,HO 1:87 Vehicles,1964,1:87 Mercedes Tow Truck,,1,,,0,,,
657-2,System,HO 1:87 Vehicles,1964,1:87 Mercedes Delivery Van,,1,,,0,,,67.25
658-2,System,HO 1:87 Vehicles,1964,1:87 VW Van,,1,,,0,,,
659-2,System,HO 1:87 Vehicles,1964,1:87 VW Pickup,,1,,,0,,,
661-2,System,HO 1:87 Vehicles,1964,1:87 VW Beetle,,1,,,0,,,
664-2,System,HO 1:87 Vehicles,1964,1:87 Mercedes 220 S,,1,,,0,,,
665-1,System,HO 1:87 Vehicles,1964,1:87 Karmann Ghia,,1,,,0,,,
666-1,System,HO 1:87 Vehicles,1964,1:87 Mercedes Sport,,1,,,0,,,
667-1,System,HO 1:87 Vehicles,1964,1:87 VW 1500,,1,,,0,,,
668-1,System,HO 1:87 Vehicles,1964,1:87 Ford Taunus 17M,,1,,,0,,,
670-3,System,HO 1:87 Vehicles,1964,1:87 Jaguar E-Type with Garage,,3,,,0,,,
671-3,System,HO 1:87 Vehicles,1964,1:87 Vauxhall Victor Estate with Garage,,1,,,0,,,
700_4-4,System,,1964,Canister Set (Switzerland),,,,,0,,,
280_3-1,Samsonite,Supplemental,1965,Assorted Bevelled Bricks,,34,0.5,,0,,,
610-4,Samsonite,Basic Set,1965,Super Wheel Toy Set (tall box version),,304,9.95,0.78,0,,,319.53
001-1,Samsonite,Basic Set,1965,Gears,,43,4.95,,0,,80,20
002-1,Samsonite,Basic Set,1965,4.5V Samsonite Gears Motor Set,,3,4.95,0.244,0,,,115
005-1,System,Basic Set,1965,Basic Building Set in Cardboard,,53,,,0,,,38.57
010-1,System,Basic Set,1965,Basic Building Set in Cardboard,,57,,,0,,,48.16
020-1,System,Basic Set,1965,Basic Building Set in Cardboard,,94,,,0,,,20.09
022-2,Samsonite,Basic Set,1965,Doll Furniture,,301,,,0,,,
030-1,System,Basic Set,1965,Basic Building Set in Cardboard,,167,,,0,,,20
060-2,System,Basic Set,1965,Basic Building Set in Cardboard,,,,,0,,,
90-2,Dacta,Classic,1965,Educational Box - Empty,,,,,0,,,
91-1,Dacta,Classic,1965,Educational Set 1 (Terapi I),,,,,0,,,
92-1,Dacta,Classic,1965,Educational Set 2 (Therapy II),,,,,0,,,
93-1,Dacta,Classic,1965,Educational Set 3 (Therapy III),,,,,0,,,
319-1,System,Vehicle,1965,Truck with Trailer,,74,,,0,,,56.44
320-2,System,Vehicle,1965,Airplane,,120,,,0,,,
321-1,System,Basic Set,1965,Clowns,,223,,,0,,,
326-1,System,Building,1965,Small Cottage,,60,,,0,,,50.19
409-1,System,Supplemental,1965,38 Slimbricks Assorted Sizes (The Building Toy),,38,,,0,,,
509-1,System,Supplemental,1965,38 Slimbricks Assorted Sizes,,38,,,0,,,
510-2,System,Supplemental,1965,Tiles,,52,,,0,,,
603-2,System,HO 1:87 Vehicles,1965,1:87 Citro+½n DS 19,,1,,,0,,,37.14
605-3,System,HO 1:87 Vehicles,1965,1:87 Fiat 1800,,1,,,0,,,
607-2,System,HO 1:87 Vehicles,1965,1:87 VW Samba Bus,,1,,,0,,,
610-3,Samsonite,Basic Set,1965,Super Wheel Toy Set (long box version),,304,,,0,,,95.9
662-2,System,HO 1:87 Vehicles,1965,1:87 Opel Rekord,,1,,,0,,,42.3
